Model,Type,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering,Dimension,Step,Scheduler,Clustering,Initial Temp,Initial Cost,Final Cost,Gain
100_100000_step_False_100,Baseline,/,/,/,/,/,/,100,100000,step,False,100,58.11152648925781,22.283954620361328,35.827571868896484
100_100_cyclic_False_1000,Baseline,/,/,/,/,/,/,100,100,cyclic,False,1000,58.11152648925781,54.325904846191406,3.7856216430664062
100_100_lam_False_1000,Baseline,/,/,/,/,/,/,100,100,lam,False,1000,58.11152648925781,51.3427619934082,6.768764495849609
100_100_step_False_1000,Baseline,/,/,/,/,/,/,100,100,step,False,1000,58.11152648925781,54.56962966918945,3.5418968200683594
100_1000_cyclic_False_1000,Baseline,/,/,/,/,/,/,100,1000,cyclic,False,1000,58.11152648925781,34.648162841796875,23.463363647460938
100_1000_lam_False_1000,Baseline,/,/,/,/,/,/,100,1000,lam,False,1000,58.11152648925781,38.937313079833984,19.174213409423828
100_1000_step_False_1000,Baseline,/,/,/,/,/,/,100,1000,step,False,1000,58.11152648925781,46.88047409057617,11.23105239868164
100_100000_cyclic_False_1000,Baseline,/,/,/,/,/,/,100,100000,cyclic,False,1000,58.11152648925781,19.773666381835938,38.337860107421875
100_100000_lam_False_1000,Baseline,/,/,/,/,/,/,100,100000,lam,False,1000,58.11152648925781,21.00800323486328,37.10352325439453
100_100000_step_False_1000,Baseline,/,/,/,/,/,/,100,100000,step,False,1000,58.11152648925781,22.3743839263916,35.73714256286621
